Subject ID	Accession	Description	Oligo 1 (FOR)	Oligo 2(REV)	Oligo 1(E-val)	Oligo 1(Query Percent)	Oligo 1(Start Location)	Oligo 1(End Location	Oligo 2(E-val)	Oligo 2(Query Percent)	Oligo 2(Start Location	Oligo 2(End Location
220098	KJ439782	Hepatitis C virus isolate QC87, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
33328	AF169004	Hepatitis C virus subtype 2a isolate G2aK3, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	17	26	1.09E+04	45.45	372	381
33329	AF169005	Hepatitis C virus subtype 2a isolate NDM59, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
189055	KC967477	Hepatitis C virus isolate DH8/JFH1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
189054	KC967476	Hepatitis C virus isolate T9/JFH1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	17	26	4.46E+01	77.27	376	393
189057	KC967479	Hepatitis C virus isolate S83/JFH1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	17	26	1.76E+02	59.09	372	384
189056	KC967478	Hepatitis C virus isolate DH10/JFH1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	2.20E+03	52.38	356	366
33322	AF165062	Hepatitis C virus subtype 1b strain MD9-2, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	6	15	1.09E+04	59.09	369	382
33323	AF165063	Hepatitis C virus subtype 1b strain MD10-1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
33320	AF165060	Hepatitis C virus subtype 1b strain MD8-2, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
33321	AF165061	Hepatitis C virus subtype 1b strain MD9-1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	6	15	1.09E+04	59.09	369	382
220095	KJ439779	Hepatitis C virus isolate QC316, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.09E+04	59.09	382	395
33327	AF169003	Hepatitis C virus subtype 2a isolate G2aK1, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	9.02E+00	71.43	352	366
33324	AF165064	Hepatitis C virus subtype 1b strain MD10-2, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
33325	AF176573	Hepatitis C virus subtype 1b strain 274933RU, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	18	27	9.02E+00	71.43	353	367
62764	AY576567	Hepatitis C virus isolate patient 8 clone 3 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
4020	HPCHCJ5	Hepatitis C virus gene for structural protein, partial cds, isolate: HC-J5.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	17	26	2.20E+03	52.38	356	366
4021	HPCHCJ7	Hepatitis C virus gene for structural protein, partial cds, isolate: HC-J7.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	18	27	1.76E+02	59.09	373	385
282544	KJ678816	Hepatitis C virus isolate ZS653, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	2.17E+03	52.63	17	26	2.33E+02	68.42	402	415
7302	AJ621218	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)371	3.52E+01	94.12	32	48	1.76E+02	59.09	377	389
7303	AJ621219	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	32	48	5.61E+01	73.68	402	416
7300	AJ621216	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	32	48	5.61E+01	73.68	402	416
7301	AJ621217	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	32	48	5.61E+01	73.68	401	415
7306	AJ621222	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	1.44E-01	89.47	19	35	5.61E+01	73.68	404	418
7307	AJ621223	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	37	53	5.61E+01	73.68	404	418
7304	AJ621220	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	32	48	5.61E+01	73.68	401	415
7305	AJ621221	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	1.45E-01	100	24	40	3.26E+00	84.21	393	409
62760	AY576554	Hepatitis C virus isolate patient 5 clone 3 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
7308	AJ621224	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)7	REV_HCV-3a(-)394	1.39E+02	63.16	19	30	5.61E+01	73.68	403	417
7309	AJ621225	Hepatitis C virus 5'UTR.	FOR_HCV-3a(+)25	REV_HCV-3a(-)394	3.52E+01	94.12	37	53	5.61E+01	73.68	406	420
48301	AF313916	Hepatitis C virus polyprotein mRNA, partial cds.	FOR_HCV-3a(+)7	REV_HCV-3a(-)345	2.17E+03	52.63	6	15	9.02E+00	71.43	341	355
62761	AY576555	Hepatitis C virus isolate patient 5 clone 4 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
282491	KJ678763	Hepatitis C virus isolate GZ0313, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.13E+01	68.18	373	387
282490	KJ678762	Hepatitis C virus isolate GZ0311, complete genome.	FOR_HCV-3a(+)7	REV_HCV-3a(-)371	2.17E+03	52.63	16	25	1.13E+01	68.18	373	387
62780	AY576583	Hepatitis C virus isolate patient 7 clone 6 core protein gene, partial cds.	FOR_HCV-3a(+)25	REV_HCV-3a(-)345	3.52E+01	94.12	5	21	9.02E+00	71.43	331	345
